title,link
Shri Dharmendra Pradhan chairs Global Young Scientists Conference and Annual General Meeting of the Global Young Academy,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135357
PM shares an article highlighting India’s Digital Connectivity Revolution in last 11 years,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135354
Delhi Chief Minister meets Prime Minister,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135330
PM shares an article highlighting expansion of India's sports infrastructure in last 11 years,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135308
PM shares an article on how India's Technical Textiles Sector is witnessing rapid growth,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135306
Union Commerce and Industry Minister Shri Piyush Goyal Engages with Swiss Industry to Deepen India–Switzerland Economic Partnership,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135293
Lok Samvardhan Parv Commemorating Completion of 11 years of Government to begin tomorrow at Raj Ghat,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135292
"Prime Minister hails unprecedented growth of India's Defence sector in last 11 Years, strengthening Self-Reliance and Modernisation",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135281
"Union Minister for Finance and Corporate Affairs Smt. Nirmala Sitharaman inaugurates SPMCIL's New Corporate Office at World Trade Centre, Nauroji Nagar, New Delhi, today",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135268
From Drafting Legislations to Saving Lives: Legislative Department Organizes Blood Donation Camp on World Blood Donor Day 2025,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135243
Raksha Rajya Mantri visits Shimla-based Army Training Command,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135241
"Union Minister for Finance and Corporate Affairs Smt. Nirmala Sitharaman chairs 6th meeting of the Governing Council of National Investment and Infrastructure Fund (NIIF) in New Delhi, today",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135239
The Office of Principal Scientific Adviser to Government of India organised the first State/UTs engagement workshop under the National One Health Mission,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135236
Union Agriculture Minister Shri Shivraj Singh Chouhan Meets Farmers in Telangana,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135232
"Following the announcement by Prime Minister Shri Narendra Modi regarding additional compensation for houses damaged in border areas, Union Home Minister Shri Amit Shah ensures swift action by facilitating an additional provision of ₹25 crore from the Ministry of Home Affairs for 2,060 houses",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135226
KEEL LAYING OF FOURTH EX-GSL NGOPV (YARD 1283),https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135188
World today looks up to India to overcome the global challenges: Dr Jitendra Singh,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135185
Earth Sciences Minister Dr. Jitendra Singh and the UNESCO emissary Vidar Helgesen hold bilateral with focus on conservation of oceans,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135183
Union Minister Dr L. Murugan inaugurates NeVA Digital Platform for Puducherry Legislative Assembly,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135180
BHASHINI and CRIS Sign MoU to Build Next-Gen Multilingual AI Solutions for Indian Railways,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135178
